Month,UNIT,Diary Bull Male count
2015M01,Headcount,53833
2015M02,Headcount,160713
2015M03,Headcount,77789
2015M04,Headcount,30634
2015M05,Headcount,13193
2015M06,Headcount,6077
2015M07,Headcount,3403
2015M08,Headcount,3119
2015M09,Headcount,7119
2015M10,Headcount,10268
2015M11,Headcount,8935
2015M12,Headcount,6096
2016M01,Headcount,62541
2016M02,Headcount,181903
2016M03,Headcount,76934
2016M04,Headcount,28034
2016M05,Headcount,12502
2016M06,Headcount,5287
2016M07,Headcount,2922
2016M08,Headcount,2995
2016M09,Headcount,7056
2016M10,Headcount,10000
2016M11,Headcount,8115
2016M12,Headcount,4185
2017M01,Headcount,52389
2017M02,Headcount,186217
2017M03,Headcount,72504
2017M04,Headcount,25304
2017M05,Headcount,10512
2017M06,Headcount,4309
2017M07,Headcount,2531
2017M08,Headcount,2437
2017M09,Headcount,5944
2017M10,Headcount,9766
2017M11,Headcount,8427
2017M12,Headcount,5104
2018M01,Headcount,61571
2018M02,Headcount,193744
2018M03,Headcount,71718
2018M04,Headcount,24072
2018M05,Headcount,10112
2018M06,Headcount,4458
2018M07,Headcount,2366
2018M08,Headcount,2389
2018M09,Headcount,5656
2018M10,Headcount,9702
2018M11,Headcount,8073
2018M12,Headcount,4902
2019M01,Headcount,50673
2019M02,Headcount,202616
2019M03,Headcount,77522
2019M04,Headcount,23726
2019M05,Headcount,10097
2019M06,Headcount,3933
2019M07,Headcount,2500
2019M08,Headcount,2437
2019M09,Headcount,5468
2019M10,Headcount,9717
2019M11,Headcount,7909
2019M12,Headcount,5008
2020M01,Headcount,61542
2020M02,Headcount,207364
2020M03,Headcount,66036
2020M04,Headcount,22223
2020M05,Headcount,8873
2020M06,Headcount,4117
2020M07,Headcount,2361
2020M08,Headcount,2356
2020M09,Headcount,5719
2020M10,Headcount,9239
2020M11,Headcount,7630
2020M12,Headcount,4855
2021M01,Headcount,69888
2021M02,Headcount,214679
2021M03,Headcount,66902
2021M04,Headcount,20740
2021M05,Headcount,7959
2021M06,Headcount,3496
2021M07,Headcount,2287
2021M08,Headcount,2644
2021M09,Headcount,6372
2021M10,Headcount,9766
2021M11,Headcount,7422
2021M12,Headcount,5280
2022M01,Headcount,76064
2022M02,Headcount,205844
