Statistic,Month,Type of Feedstuff,UNIT,VALUE
Feed Stuff Price,2014M01,Cattle fattening meal (13-15% protein),Euro per Tonne,296
Feed Stuff Price,2014M02,Cattle fattening meal (13-15% protein),Euro per Tonne,296
Feed Stuff Price,2014M03,Cattle fattening meal (13-15% protein),Euro per Tonne,281
Feed Stuff Price,2014M04,Cattle fattening meal (13-15% protein),Euro per Tonne,277
Feed Stuff Price,2014M05,Cattle fattening meal (13-15% protein),Euro per Tonne,282
Feed Stuff Price,2014M06,Cattle fattening meal (13-15% protein),Euro per Tonne,275
Feed Stuff Price,2014M07,Cattle fattening meal (13-15% protein),Euro per Tonne,275
Feed Stuff Price,2014M08,Cattle fattening meal (13-15% protein),Euro per Tonne,276
Feed Stuff Price,2014M09,Cattle fattening meal (13-15% protein),Euro per Tonne,261
Feed Stuff Price,2014M10,Cattle fattening meal (13-15% protein),Euro per Tonne,256
Feed Stuff Price,2014M11,Cattle fattening meal (13-15% protein),Euro per Tonne,251
Feed Stuff Price,2014M12,Cattle fattening meal (13-15% protein),Euro per Tonne,253
Feed Stuff Price,2015M01,Cattle fattening meal (13-15% protein),Euro per Tonne,253
Feed Stuff Price,2015M02,Cattle fattening meal (13-15% protein),Euro per Tonne,252
Feed Stuff Price,2015M03,Cattle fattening meal (13-15% protein),Euro per Tonne,256
Feed Stuff Price,2015M04,Cattle fattening meal (13-15% protein),Euro per Tonne,258
Feed Stuff Price,2015M05,Cattle fattening meal (13-15% protein),Euro per Tonne,257
Feed Stuff Price,2015M06,Cattle fattening meal (13-15% protein),Euro per Tonne,262
Feed Stuff Price,2015M07,Cattle fattening meal (13-15% protein),Euro per Tonne,255
Feed Stuff Price,2015M08,Cattle fattening meal (13-15% protein),Euro per Tonne,255
Feed Stuff Price,2015M09,Cattle fattening meal (13-15% protein),Euro per Tonne,256
Feed Stuff Price,2015M10,Cattle fattening meal (13-15% protein),Euro per Tonne,255
Feed Stuff Price,2015M11,Cattle fattening meal (13-15% protein),Euro per Tonne,254
Feed Stuff Price,2015M12,Cattle fattening meal (13-15% protein),Euro per Tonne,252
Feed Stuff Price,2016M01,Cattle fattening meal (13-15% protein),Euro per Tonne,254
Feed Stuff Price,2016M02,Cattle fattening meal (13-15% protein),Euro per Tonne,258
Feed Stuff Price,2016M03,Cattle fattening meal (13-15% protein),Euro per Tonne,256
Feed Stuff Price,2016M04,Cattle fattening meal (13-15% protein),Euro per Tonne,255
Feed Stuff Price,2016M05,Cattle fattening meal (13-15% protein),Euro per Tonne,256
Feed Stuff Price,2016M06,Cattle fattening meal (13-15% protein),Euro per Tonne,256
Feed Stuff Price,2016M07,Cattle fattening meal (13-15% protein),Euro per Tonne,256
Feed Stuff Price,2016M08,Cattle fattening meal (13-15% protein),Euro per Tonne,256
Feed Stuff Price,2016M09,Cattle fattening meal (13-15% protein),Euro per Tonne,255
Feed Stuff Price,2016M10,Cattle fattening meal (13-15% protein),Euro per Tonne,253
Feed Stuff Price,2016M11,Cattle fattening meal (13-15% protein),Euro per Tonne,254
Feed Stuff Price,2016M12,Cattle fattening meal (13-15% protein),Euro per Tonne,251
Feed Stuff Price,2017M01,Cattle fattening meal (13-15% protein),Euro per Tonne,250
Feed Stuff Price,2017M02,Cattle fattening meal (13-15% protein),Euro per Tonne,249
Feed Stuff Price,2017M03,Cattle fattening meal (13-15% protein),Euro per Tonne,249
Feed Stuff Price,2017M04,Cattle fattening meal (13-15% protein),Euro per Tonne,249
Feed Stuff Price,2017M05,Cattle fattening meal (13-15% protein),Euro per Tonne,250
Feed Stuff Price,2017M06,Cattle fattening meal (13-15% protein),Euro per Tonne,250
Feed Stuff Price,2017M07,Cattle fattening meal (13-15% protein),Euro per Tonne,250
Feed Stuff Price,2017M08,Cattle fattening meal (13-15% protein),Euro per Tonne,255
Feed Stuff Price,2017M09,Cattle fattening meal (13-15% protein),Euro per Tonne,254
Feed Stuff Price,2017M10,Cattle fattening meal (13-15% protein),Euro per Tonne,255
Feed Stuff Price,2017M11,Cattle fattening meal (13-15% protein),Euro per Tonne,255
Feed Stuff Price,2017M12,Cattle fattening meal (13-15% protein),Euro per Tonne,255
Feed Stuff Price,2018M01,Cattle fattening meal (13-15% protein),Euro per Tonne,259
Feed Stuff Price,2018M02,Cattle fattening meal (13-15% protein),Euro per Tonne,262
Feed Stuff Price,2018M03,Cattle fattening meal (13-15% protein),Euro per Tonne,262
Feed Stuff Price,2018M04,Cattle fattening meal (13-15% protein),Euro per Tonne,265
Feed Stuff Price,2018M05,Cattle fattening meal (13-15% protein),Euro per Tonne,271
Feed Stuff Price,2018M06,Cattle fattening meal (13-15% protein),Euro per Tonne,271
Feed Stuff Price,2018M07,Cattle fattening meal (13-15% protein),Euro per Tonne,274
Feed Stuff Price,2018M08,Cattle fattening meal (13-15% protein),Euro per Tonne,281
Feed Stuff Price,2018M09,Cattle fattening meal (13-15% protein),Euro per Tonne,285
Feed Stuff Price,2018M10,Cattle fattening meal (13-15% protein),Euro per Tonne,287
Feed Stuff Price,2018M11,Cattle fattening meal (13-15% protein),Euro per Tonne,288
Feed Stuff Price,2018M12,Cattle fattening meal (13-15% protein),Euro per Tonne,288
Feed Stuff Price,2019M01,Cattle fattening meal (13-15% protein),Euro per Tonne,288
Feed Stuff Price,2019M02,Cattle fattening meal (13-15% protein),Euro per Tonne,287
Feed Stuff Price,2019M03,Cattle fattening meal (13-15% protein),Euro per Tonne,287
Feed Stuff Price,2019M04,Cattle fattening meal (13-15% protein),Euro per Tonne,289
Feed Stuff Price,2019M05,Cattle fattening meal (13-15% protein),Euro per Tonne,285
Feed Stuff Price,2019M06,Cattle fattening meal (13-15% protein),Euro per Tonne,284
Feed Stuff Price,2019M07,Cattle fattening meal (13-15% protein),Euro per Tonne,283
Feed Stuff Price,2019M08,Cattle fattening meal (13-15% protein),Euro per Tonne,282
Feed Stuff Price,2019M09,Cattle fattening meal (13-15% protein),Euro per Tonne,276
Feed Stuff Price,2019M10,Cattle fattening meal (13-15% protein),Euro per Tonne,272
Feed Stuff Price,2019M11,Cattle fattening meal (13-15% protein),Euro per Tonne,270
Feed Stuff Price,2019M12,Cattle fattening meal (13-15% protein),Euro per Tonne,270
Feed Stuff Price,2020M01,Cattle fattening meal (13-15% protein),Euro per Tonne,270
Feed Stuff Price,2020M02,Cattle fattening meal (13-15% protein),Euro per Tonne,270
Feed Stuff Price,2020M03,Cattle fattening meal (13-15% protein),Euro per Tonne,271
Feed Stuff Price,2020M04,Cattle fattening meal (13-15% protein),Euro per Tonne,275
Feed Stuff Price,2020M05,Cattle fattening meal (13-15% protein),Euro per Tonne,275
Feed Stuff Price,2020M06,Cattle fattening meal (13-15% protein),Euro per Tonne,276
Feed Stuff Price,2020M07,Cattle fattening meal (13-15% protein),Euro per Tonne,276
Feed Stuff Price,2020M08,Cattle fattening meal (13-15% protein),Euro per Tonne,276
Feed Stuff Price,2020M09,Cattle fattening meal (13-15% protein),Euro per Tonne,275
Feed Stuff Price,2020M10,Cattle fattening meal (13-15% protein),Euro per Tonne,276
Feed Stuff Price,2020M11,Cattle fattening meal (13-15% protein),Euro per Tonne,279
Feed Stuff Price,2020M12,Cattle fattening meal (13-15% protein),Euro per Tonne,284
Feed Stuff Price,2021M01,Cattle fattening meal (13-15% protein),Euro per Tonne,289
Feed Stuff Price,2021M02,Cattle fattening meal (13-15% protein),Euro per Tonne,293
Feed Stuff Price,2021M03,Cattle fattening meal (13-15% protein),Euro per Tonne,295
Feed Stuff Price,2021M04,Cattle fattening meal (13-15% protein),Euro per Tonne,299
Feed Stuff Price,2021M05,Cattle fattening meal (13-15% protein),Euro per Tonne,305
Feed Stuff Price,2021M06,Cattle fattening meal (13-15% protein),Euro per Tonne,308
Feed Stuff Price,2021M07,Cattle fattening meal (13-15% protein),Euro per Tonne,310
Feed Stuff Price,2021M08,Cattle fattening meal (13-15% protein),Euro per Tonne,311
Feed Stuff Price,2021M09,Cattle fattening meal (13-15% protein),Euro per Tonne,320
Feed Stuff Price,2021M10,Cattle fattening meal (13-15% protein),Euro per Tonne,326
Feed Stuff Price,2021M11,Cattle fattening meal (13-15% protein),Euro per Tonne,330
Feed Stuff Price,2021M12,Cattle fattening meal (13-15% protein),Euro per Tonne,339
Feed Stuff Price,2022M01,Cattle fattening meal (13-15% protein),Euro per Tonne,351
Feed Stuff Price,2022M02,Cattle fattening meal (13-15% protein),Euro per Tonne,353
