Month,UNIT,Labour cost
2010M01,Rupee-Hourly,52.87
2010M02,Rupee-Hourly,52.87
2010M03,Rupee-Hourly,52.87
2010M04,Rupee-Hourly,52.87
2010M05,Rupee-Hourly,52.87
2010M06,Rupee-Hourly,52.87
2010M07,Rupee-Hourly,52.87
2010M08,Rupee-Hourly,52.87
2010M09,Rupee-Hourly,52.87
2010M10,Rupee-Hourly,52.87
2010M11,Rupee-Hourly,52.87
2010M12,Rupee-Hourly,52.87
2011M01,Rupee-Hourly,52.87
2011M02,Rupee-Hourly,52.87
2011M03,Rupee-Hourly,52.87
2011M04,Rupee-Hourly,52.87
2011M05,Rupee-Hourly,52.87
2011M06,Rupee-Hourly,52.87
2011M07,Rupee-Hourly,52.87
2011M08,Rupee-Hourly,52.87
2011M09,Rupee-Hourly,52.87
2011M10,Rupee-Hourly,52.87
2011M11,Rupee-Hourly,52.87
2011M12,Rupee-Hourly,52.87
2012M01,Rupee-Hourly,52.87
2012M02,Rupee-Hourly,52.87
2012M03,Rupee-Hourly,52.87
2012M04,Rupee-Hourly,52.87
2012M05,Rupee-Hourly,52.87
2012M06,Rupee-Hourly,52.87
2012M07,Rupee-Hourly,52.87
2012M08,Rupee-Hourly,52.87
2012M09,Rupee-Hourly,52.87
2012M10,Rupee-Hourly,52.87
2012M11,Rupee-Hourly,52.87
2012M12,Rupee-Hourly,52.87
2013M01,Rupee-Hourly,52.87
2013M02,Rupee-Hourly,52.87
2013M03,Rupee-Hourly,52.87
2013M04,Rupee-Hourly,52.87
2013M05,Rupee-Hourly,52.87
2013M06,Rupee-Hourly,52.87
2013M07,Rupee-Hourly,52.87
2013M08,Rupee-Hourly,52.87
2013M09,Rupee-Hourly,52.87
2013M10,Rupee-Hourly,52.87
2013M11,Rupee-Hourly,52.87
2013M12,Rupee-Hourly,52.87
2014M01,Rupee-Hourly,52.87
2014M02,Rupee-Hourly,52.87
2014M03,Rupee-Hourly,52.87
2014M04,Rupee-Hourly,52.87
2014M05,Rupee-Hourly,52.87
2014M06,Rupee-Hourly,52.87
2014M07,Rupee-Hourly,52.87
2014M08,Rupee-Hourly,52.87
2014M09,Rupee-Hourly,52.87
2014M10,Rupee-Hourly,52.87
2014M11,Rupee-Hourly,52.87
2014M12,Rupee-Hourly,52.87
2015M01,Rupee-Hourly,62.5
2015M02,Rupee-Hourly,62.5
2015M03,Rupee-Hourly,62.5
2015M04,Rupee-Hourly,62.5
2015M05,Rupee-Hourly,62.5
2015M06,Rupee-Hourly,62.5
2015M07,Rupee-Hourly,62.5
2015M08,Rupee-Hourly,62.5
2015M09,Rupee-Hourly,62.5
2015M10,Rupee-Hourly,62.5
2015M11,Rupee-Hourly,62.5
2015M12,Rupee-Hourly,62.5
2016M01,Rupee-Hourly,62.5
2016M02,Rupee-Hourly,62.5
2016M03,Rupee-Hourly,62.5
2016M04,Rupee-Hourly,62.5
2016M05,Rupee-Hourly,62.5
2016M06,Rupee-Hourly,62.5
2016M07,Rupee-Hourly,62.5
2016M08,Rupee-Hourly,62.5
2016M09,Rupee-Hourly,62.5
2016M10,Rupee-Hourly,62.5
2016M11,Rupee-Hourly,62.5
2016M12,Rupee-Hourly,62.5
2017M01,Rupee-Hourly,62.5
2017M02,Rupee-Hourly,62.5
2017M03,Rupee-Hourly,62.5
2017M04,Rupee-Hourly,62.5
2017M05,Rupee-Hourly,62.5
2017M06,Rupee-Hourly,62.5
2017M07,Rupee-Hourly,62.5
2017M08,Rupee-Hourly,62.5
2017M09,Rupee-Hourly,62.5
2017M10,Rupee-Hourly,62.5
2017M11,Rupee-Hourly,62.5
2017M12,Rupee-Hourly,62.5
2018M01,Rupee-Hourly,62.5
2018M02,Rupee-Hourly,62.5
2018M03,Rupee-Hourly,62.5
2018M04,Rupee-Hourly,62.5
2018M05,Rupee-Hourly,62.5
2018M06,Rupee-Hourly,62.5
2018M07,Rupee-Hourly,62.5
2018M08,Rupee-Hourly,62.5
2018M09,Rupee-Hourly,62.5
2018M10,Rupee-Hourly,62.5
2018M11,Rupee-Hourly,62.5
2018M12,Rupee-Hourly,62.5
2019M01,Rupee-Hourly,62.5
2019M02,Rupee-Hourly,62.5
2019M03,Rupee-Hourly,62.5
2019M04,Rupee-Hourly,62.5
2019M05,Rupee-Hourly,62.5
2019M06,Rupee-Hourly,62.5
2019M07,Rupee-Hourly,62.5
2019M08,Rupee-Hourly,62.5
2019M09,Rupee-Hourly,62.5
2019M10,Rupee-Hourly,62.5
2019M11,Rupee-Hourly,62.5
2019M12,Rupee-Hourly,62.5
2020M01,Rupee-Hourly,62.5
2020M02,Rupee-Hourly,62.5
2020M03,Rupee-Hourly,62.5
2020M04,Rupee-Hourly,62.5
2020M05,Rupee-Hourly,62.5
2020M06,Rupee-Hourly,62.5
2020M07,Rupee-Hourly,62.5
2020M08,Rupee-Hourly,62.5
2020M09,Rupee-Hourly,62.5
2020M10,Rupee-Hourly,62.5
2020M11,Rupee-Hourly,62.5
2020M12,Rupee-Hourly,62.5
2021M01,Rupee-Hourly,93.6
2021M02,Rupee-Hourly,93.6
2021M03,Rupee-Hourly,93.6
2021M04,Rupee-Hourly,93.6
2021M05,Rupee-Hourly,93.6
2021M06,Rupee-Hourly,93.6
2021M07,Rupee-Hourly,93.6
2021M08,Rupee-Hourly,93.6
2021M09,Rupee-Hourly,93.6
2021M10,Rupee-Hourly,93.6
2021M11,Rupee-Hourly,93.6
2021M12,Rupee-Hourly,93.6
2022M01,Rupee-Hourly,93.6
2022M02,Rupee-Hourly,93.6
