Month,Seasons,Seasonality_Indicator
2015M01,Winter,4
2015M02,Winter,4
2015M03,Spring,1
2015M04,Spring,1
2015M05,Spring,1
2015M06,Summer,2
2015M07,Summer,2
2015M08,Summer,2
2015M09,Autumn,3
2015M10,Autumn,3
2015M11,Autumn,3
2015M12,Winter,4
2016M01,Winter,4
2016M02,Winter,4
2016M03,Spring,1
2016M04,Spring,1
2016M05,Spring,1
2016M06,Summer,2
2016M07,Summer,2
2016M08,Summer,2
2016M09,Autumn,3
2016M10,Autumn,3
2016M11,Autumn,3
2016M12,Winter,4
2017M01,Winter,4
2017M02,Winter,4
2017M03,Spring,1
2017M04,Spring,1
2017M05,Spring,1
2017M06,Summer,2
2017M07,Summer,2
2017M08,Summer,2
2017M09,Autumn,3
2017M10,Autumn,3
2017M11,Autumn,3
2017M12,Winter,4
2018M01,Winter,4
2018M02,Winter,4
2018M03,Spring,1
2018M04,Spring,1
2018M05,Spring,1
2018M06,Summer,2
2018M07,Summer,2
2018M08,Summer,2
2018M09,Autumn,3
2018M10,Autumn,3
2018M11,Autumn,3
2018M12,Winter,4
2019M01,Winter,4
2019M02,Winter,4
2019M03,Spring,1
2019M04,Spring,1
2019M05,Spring,1
2019M06,Summer,2
2019M07,Summer,2
2019M08,Summer,2
2019M09,Autumn,3
2019M10,Autumn,3
2019M11,Autumn,3
2019M12,Winter,4
2020M01,Winter,4
2020M02,Winter,4
2020M03,Spring,1
2020M04,Spring,1
2020M05,Spring,1
2020M06,Summer,2
2020M07,Summer,2
2020M08,Summer,2
2020M09,Autumn,3
2020M10,Autumn,3
2020M11,Autumn,3
2020M12,Winter,4
2021M01,Winter,4
2021M02,Winter,4
2021M03,Spring,1
2021M04,Spring,1
2021M05,Spring,1
2021M06,Summer,2
2021M07,Summer,2
2021M08,Summer,2
2021M09,Autumn,3
2021M10,Autumn,3
2021M11,Autumn,3
2021M12,Winter,4
2022M01,Winter,4
2022M02,Winter,4
