timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-04-29 04:17:02+00:00,"b'Raw material volatility impacts cost forecasting of consumer goods firms Prices of everything from soaps and shampoos to bread and milk have risen between 8% and 25% over the past year, forcing people to cut back as house... #Industry by #EconomicTimes https://t.co/OJkJdqVbIv'",b'MarketsCafe',"['Industry', 'EconomicTimes']",India,1439,0,0
2022-04-28 17:12:00+00:00,"b'Since the Biden admin settled in in Jan 2021:  -the consumer price index jumped 8.5% btwn March 2021- 2022; -gas prices shot up 44%; -beef prices rose by 16%; -chicken/milk are up 13%; and, -coffee, eggs are up 11%  @HunterTower @RedState #Bidenflation   https://t.co/vL4yr23Z2N'",b'FreedomFdtn',['Bidenflation'],USA,8814,3,4
2022-04-28 14:57:41+00:00,"b'@redsteeze Strong consumer spending strongly driven by strongly desire to strongly buy milk and gas at strongly +50% y-y prices, strongly.  Staples price explosion is our economic strength!'",b'Siconik1',[],,99,0,3
2022-04-28 12:02:10+00:00,"b'Continued demand for non-GMO feed for livestock could increase greenhouse gas emissions on farms, and raise consumer prices for meat, milk and eggs.  https://t.co/v3J420YgH1 @DroversCTN #IFEEDER #GMFreeFeed https://t.co/WUBh35jAs1'",b'FeedFolks',"['IFEEDER', 'GMFreeFeed']","Arlington, Va.",3586,1,3
2022-04-27 16:23:21+00:00,b'@chris_honeybee It impacts my perception of a brand when a bud tender acts like the weed is theirs and they try to milk me. Dispensaries change people\xe2\x80\x99s perception of them on their own by increasing prices and maximizing profits by sizing the bud. Multi state dispensaries in FL are anti consumer',b'orndorf77',[],"Port St Lucie, FL",58,0,2
2022-04-26 20:42:40+00:00,"b'@Steve04897622 @PressSec @AmbRice46 @Richmond46 @POTUS Bud. You\xe2\x80\x99re talking about gas prices as if you need gas to survive. If you want to have a discussion about prices let\xe2\x80\x99s talk milk my man. It\xe2\x80\x99s something @POTUS has control over since it\xe2\x80\x99s a nationalized and heavily regulated consumer and commercial product, unlike gas. Wake up :)'",b'Miles_of_Milk',[],,6,0,0
2022-04-26 18:54:15+00:00,"b'We shop for lower prices on milk, paper towels, clothing, almost everything. When was the last time you shopped for lower Learn More https://t.co/gOlNjhbzaH #financialplanning #financialfreedom https://t.co/NglRqqn2Y7'",b'ValChoice',"['financialplanning', 'financialfreedom']",New Hampshire,904,0,0
2022-04-25 03:06:18+00:00,"b'Bcos Indians have 3rd world income and 1st world consumer prices... tea, cofee, juice, milk cup/glass sizes are 1/5th of US..now cos are cutting weights of eatable packets instead of raising prices. https://t.co/9b3EtTj8iA'",b'IVivekPandey',[],"Mumbai, India",3976,0,3
2022-04-25 00:00:07+00:00,b'Price increases in the past year:  gas: +49% hotel room: +29% airline tickets: +24% bacon: +18% oranges: +18% furniture: +17% peanut butter: +16% steak: +16% butter: +14% milk: +13% coffee: +11% cereal: +10%  (U.S. consumer prices in March)',b'joinburst',[],,958,0,1
2022-04-24 16:05:22+00:00,"b'@HarlemUp Prices do fall in a recession even for consumer staples like milk as demand decreases. To end the Fed-induced inflation in the 1970s, the Fed purposefully created a recession. We are not in same situation given China and Ukraine War but we could see the same outcome.'",b'ifelsefi',[],,792,0,0
2022-04-23 17:49:46+00:00,"b'@realjrobinson86 @jimmer_banks @MrZackMorris Harris urged Americans struggling to afford skyrocketing prices for fuel, groceries and all other consumer goods to delight in her vision of a beautiful green future. \xe2\x80\x9cImagine a future: the freight trucks that deliver bread and milk to our grocery store shelves and the buses'",b'stocks3636',[],,102,0,0
2022-04-23 17:26:22+00:00,b'@TheTortorian @PaulFul01280700 If prices are rising anyway that should be incentive enough to use energy sparingly why should the consumer (especially those with least income) be punished even further? Go Green. Milk the Poor.',b'allanholloway',[],"Islington, London",2920,0,1
2022-04-22 21:15:40+00:00,"b'@TheGuySwann True. Inflation is the single biggest cause of wealth inequality. Inflation goes well beyond consumer prices for bread and milk nobody talks about asset price inflation which is where the bulk of the inflated money supply seeps into stocks, real estate, artwork. Rich get richer.'",b'GLFNCPA',[],"Wisconsin, USA",441,0,2
